end_week,state,sex,age_group_new,covid_19_deaths,total_deaths
2020-10-03T00:00:00.000,United States,All Sexes,All Ages,198809,2150188
2020-10-03T00:00:00.000,United States,All Sexes,Under 1 year,22,12092
2020-10-03T00:00:00.000,United States,All Sexes,0-17 years,100,21449
2020-10-03T00:00:00.000,United States,All Sexes,1-4 years,15,2307
2020-10-03T00:00:00.000,United States,All Sexes,5-14 years,35,3597
2020-10-03T00:00:00.000,United States,All Sexes,15-24 years,369,23153
2020-10-03T00:00:00.000,United States,All Sexes,18-29 years,889,41027
2020-10-03T00:00:00.000,United States,All Sexes,25-34 years,1541,47522
2020-10-03T00:00:00.000,United States,All Sexes,30-49 years,9181,142650
2020-10-03T00:00:00.000,United States,All Sexes,35-44 years,4039,67177
2020-10-03T00:00:00.000,United States,All Sexes,45-54 years,10627,123171
2020-10-03T00:00:00.000,United States,All Sexes,50-64 years,31899,355464
2020-10-03T00:00:00.000,United States,All Sexes,55-64 years,25421,281571
2020-10-03T00:00:00.000,United States,All Sexes,65-74 years,42950,426332
2020-10-03T00:00:00.000,United States,All Sexes,75-84 years,52618,519488
2020-10-03T00:00:00.000,United States,All Sexes,85 years and over,61172,643778
2020-10-03T00:00:00.000,United States,Male,All Ages,107472,1122212
2020-10-03T00:00:00.000,United States,Male,Under 1 year,15,6692
2020-10-03T00:00:00.000,United States,Male,0-17 years,59,12617
2020-10-03T00:00:00.000,United States,Male,1-4 years,7,1352
2020-10-03T00:00:00.000,United States,Male,5-14 years,23,2135
2020-10-03T00:00:00.000,United States,Male,15-24 years,226,17171
2020-10-03T00:00:00.000,United States,Male,18-29 years,575,30106
2020-10-03T00:00:00.000,United States,Male,25-34 years,1021,33556
2020-10-03T00:00:00.000,United States,Male,30-49 years,6274,93638
2020-10-03T00:00:00.000,United States,Male,35-44 years,2747,44289
2020-10-03T00:00:00.000,United States,Male,45-54 years,7232,77465
2020-10-03T00:00:00.000,United States,Male,50-64 years,20836,219668
2020-10-03T00:00:00.000,United States,Male,55-64 years,16473,173369
2020-10-03T00:00:00.000,United States,Male,65-74 years,26345,247634
2020-10-03T00:00:00.000,United States,Male,75-84 years,28937,269961
2020-10-03T00:00:00.000,United States,Male,85 years and over,24446,248588
2020-10-03T00:00:00.000,United States,Female,All Ages,91332,1027893
2020-10-03T00:00:00.000,United States,Female,Under 1 year,7,5380
2020-10-03T00:00:00.000,United States,Female,0-17 years,41,8811
2020-10-03T00:00:00.000,United States,Female,1-4 years,8,955
2020-10-03T00:00:00.000,United States,Female,5-14 years,12,1462
2020-10-03T00:00:00.000,United States,Female,15-24 years,143,5981
2020-10-03T00:00:00.000,United States,Female,18-29 years,314,10921
2020-10-03T00:00:00.000,United States,Female,25-34 years,520,13964
2020-10-03T00:00:00.000,United States,Female,30-49 years,2907,49004
2020-10-03T00:00:00.000,United States,Female,35-44 years,1292,22883
2020-10-03T00:00:00.000,United States,Female,45-54 years,3394,45703
2020-10-03T00:00:00.000,United States,Female,50-64 years,11062,135786
2020-10-03T00:00:00.000,United States,Female,55-64 years,8948,108194
2020-10-03T00:00:00.000,United States,Female,65-74 years,16604,178689
2020-10-03T00:00:00.000,United States,Female,75-84 years,23680,249513
2020-10-03T00:00:00.000,United States,Female,85 years and over,36724,395169
2020-10-03T00:00:00.000,United States,Unknown,All Ages,5,83
2020-10-03T00:00:00.000,United States,Unknown,Under 1 year,0,20
2020-10-03T00:00:00.000,United States,Unknown,0-17 years,0,21
2020-10-03T00:00:00.000,United States,Unknown,1-4 years,0,0
2020-10-03T00:00:00.000,United States,Unknown,5-14 years,0,0
2020-10-03T00:00:00.000,United States,Unknown,15-24 years,0,1
2020-10-03T00:00:00.000,United States,Unknown,18-29 years,0,0
2020-10-03T00:00:00.000,United States,Unknown,25-34 years,0,2
2020-10-03T00:00:00.000,United States,Unknown,30-49 years,0,8
2020-10-03T00:00:00.000,United States,Unknown,35-44 years,0,5
2020-10-03T00:00:00.000,United States,Unknown,45-54 years,1,3
2020-10-03T00:00:00.000,United States,Unknown,50-64 years,1,10
2020-10-03T00:00:00.000,United States,Unknown,55-64 years,0,8
2020-10-03T00:00:00.000,United States,Unknown,65-74 years,1,9
2020-10-03T00:00:00.000,United States,Unknown,75-84 years,1,14
2020-10-03T00:00:00.000,United States,Unknown,85 years and over,2,21
2020-10-03T00:00:00.000,Alabama,All Sexes,All Ages,3436,39879
2020-10-03T00:00:00.000,Alabama,Male,All Ages,1739,20647
2020-10-03T00:00:00.000,Alabama,Male,Under 1 year,,124
2020-10-03T00:00:00.000,Alabama,Male,0-17 years,,247
2020-10-03T00:00:00.000,Alabama,Male,1-4 years,0,25
2020-10-03T00:00:00.000,Alabama,Male,5-14 years,0,42
2020-10-03T00:00:00.000,Alabama,Male,15-24 years,,330
2020-10-03T00:00:00.000,Alabama,Male,18-29 years,10,539
2020-10-03T00:00:00.000,Alabama,Male,25-34 years,17,601
2020-10-03T00:00:00.000,Alabama,Male,30-49 years,103,1825
2020-10-03T00:00:00.000,Alabama,Male,35-44 years,45,893
2020-10-03T00:00:00.000,Alabama,Male,45-54 years,121,1545
2020-10-03T00:00:00.000,Alabama,Male,50-64 years,336,4501
2020-10-03T00:00:00.000,Alabama,Male,55-64 years,263,3552
